GEOID,NAME,ENR17,UTD17,COND17,COMP17,EXMPT17,ME17,PE17,RE17,REM17
5307620,Royal School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5300780,Burlington-Edison School District,270,191,1,68,10,2,11,0,0
5301680,Conway School District,41,36,0,2,3,0,2,1,0
5308820,Tenino School District,79,65,0,6,8,1,7,0,0
5304110,La Conner School District,42,34,1,7,0,0,0,0,0
5305400,Mount Vernon School District,560,469,21,36,34,7,20,3,4
5301410,Clover Park School District,1366,1241,20,89,16,9,4,2,1
5302370,Eatonville School District,113,91,2,15,5,2,2,1,0
5306690,Peninsula School District,644,573,16,16,39,4,32,3,2
5308610,Sumner School District,711,629,14,23,45,8,36,2,0
5302130,Dieringer School District,135,122,1,8,4,1,2,1,0
5301350,Cle Elum-Roslyn School District,60,50,1,6,3,2,1,0,0
5301950,Damman School District,7,7,0,0,0,0,0,0,0
5308850,Thorp School District,17,10,0,4,3,0,3,0,0
5302400,Edmonds School District,1720,1491,31,103,95,10,81,3,1
5303720,Index School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5308160,South Kitsap School District,652,598,17,7,30,8,23,1,0
5304260,Lakewood School District,181,147,4,24,6,2,4,0,0
5308020,Snohomish School District,488,427,1,30,30,8,22,0,0
5300870,Carbonado School District,14,12,0,1,1,0,1,0,0
5306960,Puyallup School District,1731,1483,19,137,92,21,65,8,3
5309180,University Place School District,50,45,0,0,5,0,5,0,0
5300380,Battle Ground School District,933,758,27,17,131,12,117,2,1
5307350,Ridgefield School District,248,224,3,2,19,5,9,3,2
5309540,Washougal School District,226,202,6,1,17,8,8,1,0
5304170,La Center School District,112,96,1,7,8,2,6,1,0
5300330,Bainbridge Island School District,275,240,8,3,24,2,22,0,0
5300660,Bremerton School District,297,234,8,45,10,1,8,1,0
5302670,Everett School District,1744,1544,18,79,106,7,96,1,3
5304200,Lake Stevens School District,498,368,7,103,20,1,19,0,0
5305430,Mukilteo School District,1249,1078,15,99,57,3,57,1,0
5308550,Sultan School District,148,125,0,20,3,0,2,0,1
5305910,Northshore School District,1950,1683,17,162,85,18,67,0,1
5300810,Camas School District,464,418,2,8,36,5,27,4,0
5303300,Green Mountain School District,15,13,1,0,1,0,1,0,0
5303570,Hockinson School District,109,45,4,51,9,1,8,0,0
5304890,McCleary School District,44,28,0,16,0,0,0,0,0
5308730,Taholah School District,10,10,0,0,0,0,0,0,0
5303440,Coulee-Hartline School District,15,10,0,4,1,0,1,0,0
5309240,Valley School District,20,14,0,1,5,0,5,0,0
5302610,Ephrata School District,195,180,3,7,5,0,3,2,0
5306120,Odessa School District,24,21,0,1,2,0,2,0,0
5309600,Waterville School District,17,17,0,0,0,0,0,0,0
5307080,Quincy School District,259,236,1,21,1,0,1,0,0
5304710,Mansfield School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5306390,Orondo School District,15,15,0,0,0,0,0,0,0
5308280,Sprague School District,10,10,0,0,0,0,0,0,0
5309510,Warden School District,67,59,0,7,1,0,1,0,0
5308400,Starbuck School District,NA,NA,NA,NA,NA,NA,NA,NA,NA
5309390,Waitsburg School District,24,22,1,0,1,0,1,0,0
5301890,Curlew School District,12,8,0,3,1,0,1,0,0
5307260,Republic School District,28,23,0,3,2,0,2,0,0
5303780,Kahlotus School District,2,2,0,0,0,0,0,0,0
5308370,Star School District,1,1,0,0,0,0,0,0,0
5306570,Pasco School District,1420,1361,23,11,25,0,24,1,0
5300002,Inchelium School District,16,14,0,2,0,0,0,0,0
5300240,Arlington School District,401,323,7,44,27,8,17,1,1
5303210,Granite Falls School District,119,93,6,18,2,0,2,0,0
5305130,Monroe School District,401,351,8,25,17,4,14,0,0
5309990,Wishkah Valley School District,11,9,0,2,0,0,0,0,0
5300030,Aberdeen School District,200,173,21,6,0,0,0,0,0
5305850,North Thurston Public Schools,1174,982,13,137,42,6,34,2,1
5306180,Olympia School District,796,599,12,133,52,15,37,2,0
