OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
1,27006,Advance,118,2
2,27007,Ararat,19,0
3,27009,Belews Creek,11,0
4,27011,Boonville,104,0
5,27012,Clemmons,70,14
6,27013,Cleveland,41,5
7,27014,Cooleemee,4,0
8,27016,Danbury,11,0
9,27017,Dobson,250,1
10,27018,East Bend,100,2
11,27019,Germanton,50,0
12,27020,Hamptonville,156,3
13,27021,King,35,2
14,27022,Lawsonville,15,0
15,27023,Lewisville,111,2
16,27024,Lowgap,22,1
17,27025,Madison,26,1
18,27027,Mayodan,25,0
19,27028,Mocksville,330,5
20,27030,Mount Airy,1052,18
21,27040,Pfafftown,220,1
22,27041,Pilot Mountain,102,0
23,27042,Pine Hall,19,2
24,27043,Pinnacle,60,0
25,27045,Rural Hall,137,6
26,27046,Sandy Ridge,23,0
27,27047,Siloam,15,0
28,27048,Stoneville,43,0
29,27050,Tobaccoville,54,0
30,27051,Walkertown,74,0
31,27052,Walnut Cove,99,0
32,27053,Westfield,4,0
33,27054,Woodleaf,15,0
34,27055,Yadkinville,556,3
35,27101,Winston Salem,262,4
36,27103,Winston Salem,908,10
37,27104,Winston Salem,721,19
38,27105,Winston Salem,2003,14
39,27106,Winston Salem,1154,4
40,27107,Winston Salem,1195,12
41,27127,Winston Salem,441,5
42,27157,Winston Salem,NA,NA
43,27203,Asheboro,21,19
44,27205,Asheboro,940,2
45,27207,Bear Creek,43,1
46,27208,Bennett,12,0
47,27209,Biscoe,11,11
48,27212,Blanch,75,0
49,27214,Browns Summit,26,2
50,27215,Burlington,1266,2
51,27217,Burlington,1003,0
52,27229,Candor,401,4
53,27231,Cedar Grove,8,0
54,27233,Climax,18,0
55,27235,Colfax,23,0
56,27239,Denton,120,2
57,27242,Eagle Springs,38,0
58,27243,Efland,61,0
59,27244,Elon,155,0
60,27248,Franklinville,62,2
61,27249,Gibsonville,10,3
62,27252,Goldston,3,1
63,27253,Graham,815,7
64,27258,Haw River,125,1
65,27260,High Point,955,8
66,27262,High Point,690,9
67,27263,High Point,445,6
68,27265,High Point,613,12
69,27268,High Point,7,0
70,27278,Hillsborough,139,1
71,27281,Jackson Springs,8,0
72,27282,Jamestown,221,0
73,27283,Julian,47,0
74,27284,Kernersville,803,6
75,27288,Eden,25,5
76,27291,Leasburg,4,0
77,27292,Lexington,499,11
78,27295,Lexington,1056,22
79,27298,Liberty,77,0
80,27299,Linwood,36,0
81,27301,Mc Leansville,184,2
82,27302,Mebane,414,0
83,27305,Milton,16,2
84,27306,Mount Gilead,193,5
85,27310,Oak Ridge,31,1
86,27311,Pelham,1,0
87,27312,Pittsboro,378,32
88,27313,Pleasant Garden,69,29
89,27314,Prospect Hill,2,0
90,27315,Providence,6,0
91,27316,Ramseur,191,10
92,27317,Randleman,378,6
93,27320,Reidsville,462,13
94,27325,Robbins,253,3
95,27326,Ruffin,27,0
96,27330,Sanford,1693,17
97,27332,Sanford,342,2
98,27340,Saxapahaw,NA,NA
99,27341,Seagrove,115,0
100,27343,Semora,1,0
101,27344,Siler City,619,41
102,27349,Snow Camp,7,1
103,27350,Sophia,58,0
104,27355,Staley,44,0
105,27356,Star,144,2
106,27357,Stokesdale,149,1
107,27358,Summerfield,366,1
108,27360,Thomasville,907,3
109,27370,Trinity,241,1
110,27371,Troy,186,4
111,27376,West End,220,2
112,27377,Whitsett,212,0
113,27379,Yanceyville,32,1
114,27401,Greensboro,360,6
115,27403,Greensboro,339,15
116,27405,Greensboro,1850,14
117,27406,Greensboro,493,42
118,27407,Greensboro,1405,18
119,27408,Greensboro,262,0
120,27409,Greensboro,353,3
121,27410,Greensboro,118,12
122,27411,Greensboro,1,0
123,27412,Greensboro,1,0
124,27455,Greensboro,368,4
125,27498,Greensboro,NA,NA
126,27501,Angier,160,4
127,27502,Apex,543,1
128,27503,Bahama,20,0
129,27504,Benson,509,3
130,27505,Broadway,278,3
131,27507,Bullock,52,1
132,27508,Bunn,5,0
133,27509,Butner,1031,20
134,27510,Carrboro,113,6
135,27511,Cary,281,3
136,27513,Cary,235,3
137,27514,Chapel Hill,991,31
138,27516,Chapel Hill,1259,4
139,27517,Chapel Hill,71,3
140,27518,Cary,211,0
141,27519,Cary,611,2
142,27520,Clayton,445,23
143,27521,Coats,19,4
144,27522,Creedmoor,469,1
145,27523,Apex,41,0
146,27524,Four Oaks,531,3
147,27525,Franklinton,223,2
148,27526,Fuquay Varina,752,23
149,27527,Clayton,56,0
150,27529,Garner,1759,10
151,27530,Goldsboro,1256,3
152,27531,Goldsboro,1,0
153,27534,Goldsboro,89,24
154,27536,Henderson,145,20
155,27537,Henderson,323,5
156,27539,Apex,103,4
157,27540,Holly Springs,114,2
158,27541,Hurdle Mills,23,0
159,27542,Kenly,286,3
160,27544,Kittrell,11,0
