OBJECTID,ZIP CODE,NAME,COVID-19 CASES,COVID-19 DEATHS
1,27006,Advance,116,3
2,27007,Ararat,31,0
3,27009,Belews Creek,13,0
4,27011,Boonville,75,0
5,27012,Clemmons,413,11
6,27013,Cleveland,92,3
7,27014,Cooleemee,7,0
8,27016,Danbury,20,0
9,27017,Dobson,203,1
10,27018,East Bend,116,2
11,27019,Germanton,38,0
12,27020,Hamptonville,137,2
13,27021,King,156,1
14,27022,Lawsonville,13,0
15,27023,Lewisville,155,1
16,27024,Lowgap,26,1
17,27025,Madison,248,2
18,27027,Mayodan,48,0
19,27028,Mocksville,414,3
20,27030,Mount Airy,629,11
21,27040,Pfafftown,127,1
22,27041,Pilot Mountain,83,0
23,27042,Pine Hall,12,1
24,27043,Pinnacle,85,1
25,27045,Rural Hall,169,3
26,27046,Sandy Ridge,16,0
27,27047,Siloam,9,0
28,27048,Stoneville,89,0
29,27050,Tobaccoville,35,0
30,27051,Walkertown,104,1
31,27052,Walnut Cove,92,0
32,27053,Westfield,21,0
33,27054,Woodleaf,43,0
34,27055,Yadkinville,309,2
35,27101,Winston Salem,310,11
36,27103,Winston Salem,607,14
37,27104,Winston Salem,438,11
38,27105,Winston Salem,1049,9
39,27106,Winston Salem,842,7
40,27107,Winston Salem,1194,14
41,27127,Winston Salem,801,6
42,27157,Winston Salem,NA,NA
43,27203,Asheboro,737,19
44,27205,Asheboro,645,10
45,27207,Bear Creek,87,1
46,27208,Bennett,38,0
47,27209,Biscoe,321,17
48,27212,Blanch,77,0
49,27214,Browns Summit,128,1
50,27215,Burlington,790,8
51,27217,Burlington,1416,37
52,27229,Candor,214,3
53,27231,Cedar Grove,17,0
54,27233,Climax,19,0
55,27235,Colfax,59,0
56,27239,Denton,103,3
57,27242,Eagle Springs,41,0
58,27243,Efland,65,1
59,27244,Elon,194,2
60,27248,Franklinville,61,2
61,27249,Gibsonville,152,2
62,27252,Goldston,12,1
63,27253,Graham,869,4
64,27258,Haw River,158,2
65,27260,High Point,573,14
66,27262,High Point,453,6
67,27263,High Point,388,4
68,27265,High Point,685,21
69,27268,High Point,39,0
70,27278,Hillsborough,317,1
71,27281,Jackson Springs,52,0
72,27282,Jamestown,207,3
73,27283,Julian,37,1
74,27284,Kernersville,764,8
75,27288,Eden,322,3
76,27291,Leasburg,4,0
77,27292,Lexington,669,6
78,27295,Lexington,549,16
79,27298,Liberty,149,0
80,27299,Linwood,86,0
81,27301,Mc Leansville,107,2
82,27302,Mebane,446,0
83,27305,Milton,37,1
84,27306,Mount Gilead,155,3
85,27310,Oak Ridge,77,1
86,27311,Pelham,20,0
87,27312,Pittsboro,237,20
88,27313,Pleasant Garden,125,16
89,27314,Prospect Hill,7,0
90,27315,Providence,17,0
91,27316,Ramseur,195,11
92,27317,Randleman,266,4
93,27320,Reidsville,390,8
94,27325,Robbins,245,2
95,27326,Ruffin,36,2
96,27330,Sanford,1014,9
97,27332,Sanford,687,5
98,27340,Saxapahaw,NA,NA
99,27341,Seagrove,77,0
100,27343,Semora,9,0
101,27344,Siler City,899,22
102,27349,Snow Camp,60,1
103,27350,Sophia,78,0
104,27355,Staley,54,0
105,27356,Star,79,1
106,27357,Stokesdale,84,1
107,27358,Summerfield,186,1
108,27360,Thomasville,950,9
109,27370,Trinity,174,1
110,27371,Troy,219,3
111,27376,West End,140,5
112,27377,Whitsett,126,0
113,27379,Yanceyville,87,1
114,27401,Greensboro,341,10
115,27403,Greensboro,241,8
116,27405,Greensboro,1013,17
117,27406,Greensboro,952,41
118,27407,Greensboro,886,13
119,27408,Greensboro,213,0
120,27409,Greensboro,252,2
121,27410,Greensboro,546,7
122,27411,Greensboro,1,0
123,27412,Greensboro,2,0
124,27455,Greensboro,325,9
125,27498,Greensboro,NA,NA
126,27501,Angier,364,2
127,27502,Apex,429,3
128,27503,Bahama,29,0
129,27504,Benson,297,4
130,27505,Broadway,146,5
131,27507,Bullock,29,1
132,27508,Bunn,50,0
133,27509,Butner,670,28
134,27510,Carrboro,245,4
135,27511,Cary,446,3
136,27513,Cary,416,2
137,27514,Chapel Hill,695,19
138,27516,Chapel Hill,730,12
139,27517,Chapel Hill,335,4
140,27518,Cary,192,1
141,27519,Cary,471,4
142,27520,Clayton,948,26
143,27521,Coats,123,2
144,27522,Creedmoor,254,1
145,27523,Apex,139,0
146,27524,Four Oaks,323,4
147,27525,Franklinton,270,1
148,27526,Fuquay Varina,614,13
149,27527,Clayton,411,0
150,27529,Garner,973,22
151,27530,Goldsboro,714,22
152,27531,Goldsboro,3,0
153,27534,Goldsboro,638,12
154,27536,Henderson,461,32
155,27537,Henderson,484,11
156,27539,Apex,286,2
157,27540,Holly Springs,389,1
158,27541,Hurdle Mills,39,0
159,27542,Kenly,153,3
160,27544,Kittrell,53,0
161,27545,Knightdale,688,22
162,27546,Lillington,464,27
163,27549,Louisburg,553,27
164,27551,Macon,20,1
165,27553,Manson,27,0
166,27556,Middleburg,7,0
167,27557,Middlesex,171,1
168,27559,Moncure,31,0
169,27560,Morrisville,355,1
170,27562,New Hill,29,0
171,27563,Norlina,100,1
172,27565,Oxford,620,24
173,27569,Princeton,177,0
174,27571,Rolesville,76,0
175,27572,Rougemont,61,0
176,27573,Roxboro,129,6
177,27574,Roxboro,149,0
178,27576,Selma,602,8
179,27577,Smithfield,702,6
180,27581,Stem,51,0
181,27583,Timberlake,89,0
182,27587,Wake Forest,922,31
183,27589,Warrenton,144,4
184,27591,Wendell,444,4
185,27592,Willow Spring,252,1
186,27596,Youngsville,222,1
187,27597,Zebulon,427,5
188,27599,Chapel Hill,NA,NA
189,27601,Raleigh,159,2
190,27603,Raleigh,1010,5
191,27604,Raleigh,1176,20
192,27605,Raleigh,100,3
193,27606,Raleigh,811,2
194,27607,Raleigh,609,3
195,27608,Raleigh,158,1
196,27609,Raleigh,688,9
197,27610,Raleigh,2373,42
198,27612,Raleigh,515,6
199,27613,Raleigh,495,6
200,27614,Raleigh,384,6
201,27615,Raleigh,630,19
202,27616,Raleigh,1143,6
203,27617,Raleigh,226,1
204,27701,Durham,655,6
205,27703,Durham,1610,9
206,27704,Durham,1523,18
207,27705,Durham,1260,41
208,27706,Durham,NA,NA
209,27707,Durham,1117,5
210,27708,Durham,6,0
211,27709,Durham,NA,NA
212,27710,Durham,NA,NA
213,27711,Durham,NA,NA
214,27712,Durham,401,21
215,27713,Durham,783,4
