ZIPCODE,POP,CASES,DEATHS
27006,14872,116,3
27007,2136,31,0
27009,2937,13,0
27011,5411,75,0
27012,28954,413,11
27013,6495,92,3
27014,957,7,0
27016,1682,20,0
27017,9499,203,1
27018,8221,116,2
27019,4234,38,0
27020,6104,137,2
27021,17979,156,1
27022,1512,13,0
27023,12775,155,1
27024,2683,26,1
27025,11117,248,2
27027,4017,48,0
27028,28039,414,3
27030,37641,629,11
27040,13150,127,1
27041,8020,83,0
27042,720,12,1
27043,6442,85,1
27045,9583,169,3
27046,1953,16,0
27047,1279,9,0
27048,8902,89,0
27050,4084,35,0
27051,8287,104,1
27052,10061,92,0
27053,3156,21,0
27054,2608,43,0
27055,14521,309,2
27101,24321,310,11
27103,36071,607,14
27104,29383,438,11
27105,40186,1049,9
27106,51378,842,7
27107,52432,1194,14
27127,38510,801,6
27157,5,NA,NA
27203,21876,737,19
27205,34549,645,10
27207,3806,87,1
27208,1691,38,0
27209,4151,321,17
27212,1600,77,0
27214,11747,128,1
27215,44892,790,8
27217,39111,1416,37
27229,4014,214,3
27231,2048,17,0
27233,3647,19,0
27235,4575,59,0
27239,9629,103,3
27242,2668,41,0
27243,4665,65,1
27244,16259,194,2
27248,4835,61,2
27249,13355,152,2
27252,2264,12,1
27253,31464,869,4
27258,7740,158,2
27260,25696,573,14
27262,24764,453,6
27263,22320,388,4
27265,50038,685,21
27268,1695,39,0
27278,27181,317,1
27281,3710,52,0
27282,16597,207,3
27283,2982,37,1
27284,56201,764,8
27288,23585,322,3
27291,1538,4,0
27292,41465,669,6
27295,39191,549,16
27298,10440,149,0
27299,5254,86,0
27301,10019,107,2
27302,32302,446,0
27305,1585,37,1
27306,5945,155,3
27310,8562,77,1
27311,3220,20,0
27312,22205,237,20
27313,7288,125,16
27314,1138,7,0
27315,2140,17,0
27316,7156,195,11
27317,17851,266,4
27320,38894,390,8
27325,7676,245,2
27326,3692,36,2
27330,39529,1014,9
27332,33549,687,5
27340,34,NA,NA
27341,5820,77,0
27343,1840,9,0
27344,19290,899,22
27349,5850,60,1
27350,7508,78,0
27355,3196,54,0
27356,3513,79,1
27357,8325,84,1
27358,15960,186,1
27360,48331,950,9
27370,14622,174,1
27371,7778,219,3
27376,9884,140,5
27377,9597,126,0
27379,6057,87,1
27401,20221,341,10
27403,21278,241,8
27405,52510,1013,17
27406,60755,952,41
27407,49837,886,13
27408,17406,213,0
27409,17953,252,2
27410,56968,546,7
27411,847,1,0
27412,1886,2,0
27455,29197,325,9
27498,13,NA,NA
27501,21338,364,2
27502,43747,429,3
27503,7222,29,0
27504,16320,297,4
27505,7308,146,5
27507,2053,29,1
27508,2340,50,0
27509,6935,670,28
27510,14543,245,4
27511,34041,446,3
27513,49003,416,2
27514,32847,695,19
27516,44117,730,12
27517,28831,335,4
27518,22765,192,1
27519,59960,471,4
27520,43958,948,26
27521,7149,123,2
27522,13652,254,1
27523,12782,139,0
27524,13532,323,4
27525,15534,270,1
27526,54027,614,13
27527,30234,411,0
27529,53854,973,22
27530,40212,714,22
27531,666,3,0
27533,0,NA,NA
27534,31819,638,12
27536,16459,461,32
27537,25321,484,11
27539,26567,286,2
27540,39075,389,1
27541,4044,39,0
27542,10043,153,3
27544,4291,53,0
27545,30327,688,22
27546,22436,464,27
27549,25224,553,27
27551,2205,20,1
27553,2030,27,0
27556,298,7,0
27557,9214,171,1
27559,2874,31,0
27560,33691,355,1
27562,2791,29,0
27563,5312,100,1
27565,26057,620,24
27569,8984,177,0
27571,7385,76,0
27572,7316,61,0
27573,11561,129,6
27574,15232,149,0
27576,20197,602,8
27577,25214,702,6
27581,3956,51,0
27583,7012,89,0
27587,74087,922,31
27589,8312,144,4
27591,23448,444,4
27592,17368,252,1
27596,18655,222,1
27597,25494,427,5
27599,0,NA,NA
27601,12139,159,2
27603,55479,1010,5
27604,47645,1176,20
27605,5253,100,3
27606,47938,811,2
27607,30296,609,3
27608,11603,158,1
27609,38631,688,9
27610,74203,2373,42
27612,39208,515,6
27613,46521,495,6
27614,37689,384,6
27615,46038,630,19
27616,55260,1143,6
27617,19511,226,1
27701,26489,655,6
27703,61351,1610,9
27704,39369,1523,18
27705,48078,1260,41
27706,10,NA,NA
27707,47036,1117,5
27708,4635,6,0
27709,4,NA,NA
27710,0,NA,NA
27711,62,NA,NA
27712,22055,401,21
27713,53996,783,4
27801,21556,476,13
27803,22337,405,7
27804,29160,694,19
27805,3769,84,0
27806,2441,19,0
27807,6940,224,3
27808,2481,35,1
27809,5254,125,2
27810,4224,44,0
27812,2951,54,0
27813,687,4,0
27814,1801,19,0
27816,2634,53,0
27817,7777,123,0
27818,1269,34,0
27820,3292,41,2
27821,343,NA,NA
27822,9119,177,3
27823,7812,155,1
27824,1540,23,0
27826,1245,33,2
27827,99,6,0
27828,9031,138,1
27829,1872,24,1
27830,4858,80,1
27831,3588,71,1
27832,2912,68,0
27834,57505,1403,10
27837,6506,99,1
27839,3702,40,0
27840,535,22,2
27841,84,NA,NA
27842,1436,13,0
27843,946,22,0
27844,3039,73,0
27845,2841,19,0
27846,3069,48,1
27847,1071,21,0
27849,1483,32,0
27850,7413,58,0
27851,5595,124,0
27852,3454,49,0
27853,436,10,0
27855,6105,131,1
27856,17301,344,4
27857,1601,42,1
27858,58170,1712,7
27860,2062,45,1
27862,945,9,0
27863,12670,183,1
27864,4823,106,2
27865,2003,22,1
27866,672,21,1
27869,2167,82,11
27870,26633,460,14
27871,4466,77,3
27872,429,7,0
27874,4766,76,1
27875,511,7,0
27876,1290,27,1
27880,3280,86,0
27881,323,NA,NA
