ZIPCODEmap,POP,CASES,DEATHS,CASERATE,DEATHRATE
27006,14872,116,3,7.79989241527703,0.20172135556750942
27007,2136,31,0,14.513108614232209,0
27009,2937,13,0,4.42628532516173,0
27011,5411,75,0,13.86065422287932,0
27012,28954,413,11,14.264004973406092,0.3799129653933826
27013,6495,92,3,14.164742109314858,0.4618937644341801
27014,957,7,0,7.3145245559038665,0
27016,1682,20,0,11.890606420927467,0
27017,9499,203,1,21.370670596904937,0.10527423939362038
27018,8221,116,2,14.110205571098406,0.24327940639824838
27019,4234,38,0,8.974964572508267,0
27020,6104,137,2,22.44429882044561,0.32765399737876805
27021,17979,156,1,8.676789587852495,0.05562044607597753
27022,1512,13,0,8.597883597883598,0
27023,12775,155,1,12.13307240704501,0.07827788649706457
27024,2683,26,1,9.690644800596347,0.37271710771524413
27025,11117,248,2,22.308176666366826,0.17990465053521634
27027,4017,48,0,11.949215832710978,0
27028,28039,414,3,14.76514854310068,0.1069938300224687
27030,37641,629,11,16.710501846390905,0.29223453149491246
27040,13150,127,1,9.657794676806084,0.07604562737642585
27041,8020,83,0,10.349127182044887,0
27042,720,12,1,16.666666666666668,1.3888888888888888
27043,6442,85,1,13.194660043464763,0.1552312946289972
27045,9583,169,3,17.635396013774393,0.31305436710842116
27046,1953,16,0,8.19252432155658,0
27047,1279,9,0,7.0367474589523065,0
27048,8902,89,0,9.997753313862054,0
27050,4084,35,0,8.570029382957884,0
27051,8287,104,1,12.54977675877881,0.12067093037287317
27052,10061,92,0,9.144220256435743,0
27053,3156,21,0,6.653992395437262,0
27054,2608,43,0,16.487730061349694,0
27055,14521,309,2,21.279526203429516,0.13773156118724605
27101,24321,310,11,12.746186423255622,0.4522840343735866
27103,36076,607,14,16.82559042022397,0.38806963077946555
27104,29383,438,11,14.906578633903958,0.3743661300752136
27105,40186,1049,9,26.103618175483998,0.2239585925446673
27106,51378,842,7,16.388337420685897,0.13624508544513217
27107,52432,1194,14,22.772352761672263,0.26701251144339333
27127,38510,801,6,20.799792261750195,0.15580368735393405
27203,21876,737,19,33.689888462241726,0.8685317242640337
27205,34549,645,10,18.669136588613274,0.28944397811803524
27207,3806,87,1,22.858644245927483,0.2627430373095113
27208,1691,38,0,22.471910112359552,0
27209,4151,321,17,77.33076367140448,4.095398699108649
27212,1600,77,0,48.125,0
27214,11747,128,1,10.896399080616328,0.08512811781731507
27215,44892,790,8,17.597790252160742,0.17820547090795688
27217,39111,1416,37,36.20464830865997,0.9460254148449285
27229,4014,214,3,53.313403089187844,0.7473841554559043
27231,2048,17,0,8.30078125,0
27233,3647,19,0,5.2097614477652865,0
27235,4575,59,0,12.896174863387978,0
27239,9629,103,3,10.6968532557898,0.31155883269290685
27242,2668,41,0,15.367316341829085,0
27243,4665,65,1,13.933547695605574,0.21436227224008575
27244,16259,194,2,11.931853127498616,0.12300879512885171
27248,4835,61,2,12.616339193381593,0.4136504653567735
27249,13355,152,2,11.381505054286784,0.1497566454511419
27252,2264,12,1,5.30035335689046,0.4416961130742049
27253,31498,869,4,27.589053273223698,0.12699218998031622
27258,7740,158,2,20.41343669250646,0.25839793281653745
27260,25696,573,14,22.299190535491906,0.5448318804483188
27262,26459,492,6,18.59480705997959,0.22676593975584866
27263,22320,388,4,17.38351254480287,0.17921146953405018
27265,50038,685,21,13.689595907110595,0.4196810424077701
27278,27181,317,1,11.662558404768037,0.036790405062359734
27281,3710,52,0,14.016172506738544,0
27282,16597,207,3,12.472133518105682,0.1807555582334157
27283,2982,37,1,12.407780013413817,0.335345405767941
27284,56201,764,8,13.594064162559386,0.14234622159748048
27288,23585,322,3,13.652745389018444,0.1271994912020352
27291,1538,4,0,2.600780234070221,0
27292,41465,669,6,16.13408899071506,0.14470034969251175
27295,39191,549,16,14.00831823632977,0.40825699778010255
27298,10440,149,0,14.272030651340996,0
27299,5254,86,0,16.36848115721355,0
27301,10019,107,2,10.67970855374788,0.19962072063080147
27302,32302,446,0,13.807194600953501,0
27305,1585,37,1,23.34384858044164,0.6309148264984227
27306,5945,155,3,26.07232968881413,0.5046257359125316
27310,8562,77,1,8.993225881803317,0.116795141322121
27311,3220,20,0,6.211180124223603,0
27312,22205,237,20,10.673271785633867,0.9006980409817609
27313,7288,125,16,17.151481888035125,2.1953896816684964
27314,1138,7,0,6.151142355008787,0
27315,2140,17,0,7.94392523364486,0
27316,7156,195,11,27.249860257126887,1.5371716042481833
27317,17851,266,4,14.901125987339645,0.22407708251638564
27320,38894,390,8,10.02725356096056,0.2056872525325243
27325,7676,245,2,31.917665450755603,0.26055237102657636
27326,3692,36,2,9.750812567713977,0.5417118093174431
27330,39529,1014,9,25.65205292317033,0.2276809431050621
27332,33549,687,5,20.477510507019584,0.14903573877015708
27341,5820,77,0,13.230240549828178,0
27343,1840,9,0,4.891304347826087,0
27344,19290,899,22,46.604458268532916,1.1404872991187143
27349,5850,60,1,10.256410256410257,0.17094017094017094
27350,7508,78,0,10.388918486947256,0
27355,3196,54,0,16.896120150187734,0
27356,3513,79,1,22.487902077996015,0.2846569883290635
27357,8325,84,1,10.09009009009009,0.12012012012012012
27358,15960,186,1,11.654135338345865,0.06265664160401002
27360,48331,950,9,19.65612132999524,0.18621588628416544
27370,14622,174,1,11.899876897825195,0.0683900971139379
27371,7778,219,3,28.156338390331705,0.3857032656209823
27376,9884,140,5,14.164305949008499,0.5058680696074463
27377,9597,126,0,13.12910284463895,0
27379,6057,87,1,14.363546310054483,0.1650982334489021
27401,20221,341,10,16.863656594629347,0.4945353840067257
27403,21278,241,8,11.326252467337156,0.3759751856377479
27405,52510,1013,17,19.291563511712056,0.32374785755094265
27406,60755,952,41,15.669492222862315,0.6748415768249527
27407,49837,886,13,17.77795613700664,0.2608503722134157
27408,17406,213,0,12.237159600137883,0
27409,17966,252,2,14.026494489591451,0.11132138483802738
27410,56968,546,7,9.584328043814072,0.12287600056171886
27411,847,1,0,1.1806375442739079,0
27412,1886,2,0,1.0604453870625663,0
27455,29197,325,9,11.13128061102168,0.30825084768983113
27501,21338,364,2,17.058768394413722,0.09372949667260287
27502,43747,429,3,9.806386723661051,0.06857613093469267
27503,7222,29,0,4.015508169482138,0
27504,16320,297,4,18.198529411764707,0.24509803921568626
27505,7308,146,5,19.978106185002737,0.6841817186644773
27507,2053,29,1,14.125669751583048,0.4870920603994155
27508,2340,50,0,21.367521367521366,0
27509,6935,670,28,96.6113914924297,4.037490987743331
27510,14543,245,4,16.846592862545556,0.2750464140823764
27511,34041,446,3,13.10184777180459,0.08812902088657795
27513,49003,416,2,8.4892761667653,0.04081382772483318
27514,32847,695,19,21.158705513441106,0.5784394313027065
27516,44117,730,12,16.546909354670536,0.2720039893918444
27517,28831,335,4,11.619437411119975,0.13873955117755193
27518,22765,192,1,8.43399956072919,0.04392708104546453
27519,59960,471,4,7.8552368245497,0.066711140760507
27520,43958,948,26,21.56604031120615,0.5914736794212657
27521,7149,123,2,17.20520352496853,0.27975940691005735
27522,13652,254,1,18.60533255200703,0.0732493407559332
27523,12782,139,0,10.874667501173525,0
27524,13532,323,4,23.86934673366834,0.29559562518474725
27525,15534,270,1,17.381228273464657,0.06437491953135059
27526,54027,614,13,11.364688026357191,0.240620430525478
27527,30234,411,0,13.593967056955746,0
27529,53854,973,22,18.067367326475285,0.4085119025513425
27530,40212,714,22,17.755893763055806,0.5471003680493385
27531,666,3,0,4.504504504504505,0
27534,31819,638,12,20.05091297652346,0.37713315943304315
27536,16459,461,32,28.008992040828726,1.9442250440488487
27537,25619,491,11,19.165463132831103,0.42936882782310004
27539,26567,286,2,10.765235066059397,0.07528136409831745
27540,39075,389,1,9.955214331413947,0.025591810620601407
27541,4044,39,0,9.643916913946587,0
27542,10043,153,3,15.23449168575127,0.2987155232500249
27544,4291,53,0,12.351433232346773,0
27545,30327,688,22,22.686055330233785,0.7254261878853827
27546,22436,464,27,20.6810483152077,1.2034230700659654
27549,25224,553,27,21.923564858864573,1.070409134157945
27551,2205,20,1,9.070294784580499,0.45351473922902497
27553,2030,27,0,13.300492610837438,0
27557,9214,171,1,18.558714998914695,0.10853049706967657
27559,2874,31,0,10.786360473208072,0
27560,33691,355,1,10.536938648303702,0.029681517319165355
27562,2791,29,0,10.390541024722321,0
27563,5312,100,1,18.825301204819276,0.18825301204819278
27565,26057,620,24,23.793990098629926,0.9210576812372875
27569,8984,177,0,19.701691896705253,0
27571,7385,76,0,10.291130670277589,0
27572,7316,61,0,8.337889557135046,0
27573,11561,129,6,11.15820430758585,0.518986246864458
